Condition,Time (h),Fraction
NGFP1,-7.08E-02,3.02E-02
NGFP1,1.85E+00,5.87E-02
NGFP1,5.14E+00,1.16E-01
NGFP1,8.50E+00,1.91E-01
NGFP1,1.19E+01,2.58E-01
NGFP1,1.51E+01,3.26E-01
NGFP1,1.82E+01,4.13E-01
NGFP1,2.17E+01,5.26E-01
NGFP1,2.49E+01,5.87E-01
NGFP1,2.82E+01,6.21E-01
NGFP1,3.17E+01,6.82E-01
NGFP1,3.48E+01,7.42E-01
NGFP1,3.81E+01,8.07E-01
NGFP1,4.15E+01,8.33E-01
NGFP1,4.46E+01,8.45E-01
NGFP1,4.80E+01,8.64E-01
NGFP1-Lin28OE,3.74E-03,5.49E-02
NGFP1-Lin28OE,6.20E+00,9.68E-02
NGFP1-Lin28OE,1.20E+01,2.05E-01
NGFP1-Lin28OE,1.79E+01,3.34E-01
NGFP1-Lin28OE,2.38E+01,4.69E-01
NGFP1-Lin28OE,2.95E+01,6.22E-01
NGFP1-Lin28OE,3.52E+01,7.68E-01
NGFP1-Lin28OE,4.11E+01,8.73E-01
NGFP1-NanogOE,1.69E-02,1.23E-01
NGFP1-NanogOE,3.39E+00,2.23E-01
NGFP1-NanogOE,7.10E+00,3.46E-01
NGFP1-NanogOE,1.10E+01,4.54E-01
NGFP1-NanogOE,1.47E+01,6.39E-01
NGFP1-NanogOE,1.84E+01,8.89E-01
NGFP1-NanogOE,2.24E+01,9.36E-01
NGFP1-p21KD,2.11E-01,8.69E-02
NGFP1-p21KD,4.39E+00,2.28E-01
NGFP1-p21KD,9.59E+00,4.68E-01
NGFP1-p21KD,1.46E+01,6.74E-01
NGFP1-p21KD,1.97E+01,8.23E-01
NGFP1-p21KD,2.48E+01,8.73E-01
NGFP1-p53KD,4.05E-01,5.68E-02
NGFP1-p53KD,4.41E+00,2.54E-01
NGFP1-p53KD,9.43E+00,5.38E-01
NGFP1-p53KD,1.44E+01,7.39E-01
NGFP1-p53KD,1.96E+01,8.66E-01
NGFP1-p53KD,2.46E+01,8.98E-01
