Gene,Time (h),Expression
Tfcp2l1,0,1
Tfcp2l1,4,3.28E-01
Tfcp2l1,8,2.99E-01
Tfcp2l1,24,3.69E-02
Tfcp2l1,48,3.77E-02
Tbx3,0,1
Tbx3,4,2.94E-01
Tbx3,8,1.38E-01
Tbx3,24,1.57E-02
Tbx3,48,2.50E-02
Nanog,0,1
Nanog,4,5.94E-01
Nanog,8,4.00E-01
Nanog,24,1.99E-02
Nanog,48,2.08E-02
Klf4,0,1
Klf4,4,9.17E-01
Klf4,8,4.39E-01
Klf4,24,1.30E-01
Klf4,48,1.35E-01
Klf2,0,1
Klf2,4,3.74E-01
Klf2,8,3.07E-01
Klf2,24,5.38E-02
Klf2,48,2.08E-02
Esrrb,0,1
Esrrb,4,6.75E-01
Esrrb,8,4.98E-01
Esrrb,24,3.69E-02
Esrrb,48,2.50E-02
