gene,condition,time,relative_expression
Esrrb,siPum1,0,1
Esrrb,siPum1,4,0.9574895561
Esrrb,siPum1,8,0.852227088
Esrrb,siPum1,18,0.4291499323
Esrrb,siPum1,24,0.3400805268
Esrrb,siNeg,0,1
Esrrb,siNeg,4,0.8259107149
Esrrb,siNeg,8,0.5708500677
Esrrb,siNeg,18,0.2955468322
Esrrb,siNeg,24,0.2145744621
Klf2,siPum1,0,1
Klf2,siPum1,4,0.9467310442
Klf2,siPum1,8,0.4891034806
Klf2,siPum1,18,0.4697336855
Klf2,siPum1,24,0.4164647297
Klf2,siNeg,0,1
Klf2,siNeg,4,0.506053061
Klf2,siNeg,8,0.2348668428
Klf2,siNeg,18,0.2687649938
Klf2,siNeg,24,0.1743342138
Klf4,siPum1,0,1
Klf4,siPum1,4,0.6758347156
Klf4,siPum1,8,0.5108058112
Klf4,siPum1,18,0.2141456795
Klf4,siPum1,24,0.0884085859
Klf4,siNeg,0,0.9980354899
Klf4,siNeg,4,0.7819253003
Klf4,siNeg,8,0.5795676871
Klf4,siNeg,18,0.1689589304
Klf4,siNeg,24,0.0726914995
Nanog,siPum1,0,1
Nanog,siPum1,4,0.7714879622
Nanog,siPum1,8,0.6918233625
Nanog,siPum1,18,0.3060798835
Nanog,siPum1,24,0.2201260262
Nanog,siNeg,0,1
Nanog,siNeg,4,0.6058695052
Nanog,siNeg,8,0.4675048327
Nanog,siNeg,18,0.1593291994
Nanog,siNeg,24,0.1194968996
Tbx3,siPum1,0,1
Tbx3,siPum1,4,0.8232667192
Tbx3,siPum1,8,0.5659954919
Tbx3,siPum1,18,0.08501116947
Tbx3,siPum1,24,0.02908279499
Tbx3,siNeg,0,1
Tbx3,siNeg,4,0.4832216387
Tbx3,siNeg,8,0.2841162027
Tbx3,siNeg,18,0.03355702468
Tbx3,siNeg,24,0.01118567489
Tfcp2l1,siPum1,0,1
Tfcp2l1,siPum1,4,0.9251551114
Tfcp2l1,siPum1,8,0.334719592
Tfcp2l1,siPum1,18,0.1455299949
Tfcp2l1,siPum1,24,0.1226612545
Tfcp2l1,siNeg,0,1
Tfcp2l1,siNeg,4,0.4760908108
Tfcp2l1,siNeg,8,0.2390848479
Tfcp2l1,siNeg,18,0.08939708312
Tfcp2l1,siNeg,24,0.0706860119
