Lineage,Gene,Cell Status,Time,Mean,SD
Definitive Endoderm,CXCR+/ECAD+,2i,24,0,0.00357942
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,24,0,0.00357942
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,24,0,0.012528
Definitive Endoderm,CXCR+/ECAD+,2i,48,0,0.00715884
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,48,0.0322148,0.0107382
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,48,0.211186,0.132438
Definitive Endoderm,CXCR+/ECAD+,2i,72,0.36689,0.046533
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,72,0.336465,0.00179
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,72,0.168233,0.071588
Definitive Endoderm,CXCR+/ECAD+,2i,96,0.544072,0.010738
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,96,0.531544,0.034004
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,96,0.304251,0.087695
Definitive Endoderm,CXCR+/ECAD+,2i,120,0.570917,0.032215
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,120,0.642506,0.098434
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,120,0.37047,0.102013
Lateral Mesoderm,FLK1+/ECAD-,2i,24,0,0
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,24,0,0
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,24,0,0
Lateral Mesoderm,FLK1+/ECAD-,2i,48,0,0.00200501
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,48,0.0270677,0.0230576
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,48,0.0140351,0.0010025
Lateral Mesoderm,FLK1+/ECAD-,2i,72,0.00401003,0.01102757
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,72,0.0320802,0.0130326
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,72,0.0691729,0.0651631
Lateral Mesoderm,FLK1+/ECAD-,2i,96,0.079198,0.07619
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,96,0.145363,0.096241
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,96,0.203509,0.097243
Lateral Mesoderm,FLK1+/ECAD-,2i,120,0.231579,0.174436
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,120,0.208521,0.108271
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,120,0.257644,0.02406
Neural,SOX1+,2i,24,0.004842615012,0.01937046005
Neural,SOX1+,Rex1-Hi,24,0.009685230024,0.01452784504
Neural,SOX1+,Rex1-Lo,24,0.1041162228,0.06537530266
Neural,SOX1+,2i,48,0.009685230024,0.02179176755
Neural,SOX1+,Rex1-Hi,48,0.1234866828,0.06537530266
Neural,SOX1+,Rex1-Lo,48,0.7966101695,0.03631961259
Neural,SOX1+,2i,72,0.4939467312,0.1113801453
Neural,SOX1+,Rex1-Hi,72,0.784503632,0.07263922518
Neural,SOX1+,Rex1-Lo,72,0.9079903148,0.04842615012
Neural,SOX1+,2i,96,0.7917675545,0.007263922518
Neural,SOX1+,Rex1-Hi,96,0.7748184019,0.1694915254
Neural,SOX1+,Rex1-Lo,96,0.9564164649,0.01694915254
Primitive Streak,TBXT+,2i,24,0.006734643688,0.002906995075
Primitive Streak,TBXT+,Rex1-Hi,24,0.09702805471,0.0581399015
Primitive Streak,TBXT+,Rex1-Lo,24,0.4750950606,0.1802336947
Primitive Streak,TBXT+,2i,48,0.007472427688,0.00581399015
Primitive Streak,TBXT+,Rex1-Hi,48,0.5018381542,0.07266857103
Primitive Streak,TBXT+,Rex1-Lo,48,0.9002541256,0.04069793105
Primitive Streak,TBXT+,2i,72,0.1884312947,0.02034896553
Primitive Streak,TBXT+,Rex1-Hi,72,0.7554782038,0.05813359566
Primitive Streak,TBXT+,Rex1-Lo,72,0.9213345693,0.05231960551
