condition_a,condition_b,diff,se_diff,z,p_two_sided,q_BH,significant_FDR
NGFP1,NGFP1-Lin28OE,-1.2034876091987883,0.8445829378921541,-1.4249489957757864,0.15417194517379895,0.1927149314672487,False
NGFP1,NGFP1-NanogOE,14.8784486888702,1.2192844530198377,12.20260674366864,3.0103007040289357e-34,6.0206014080578715e-34,True
NGFP1,NGFP1-p21KD,14.604284903484317,0.7803553448299543,18.714916224052658,3.7420941136084316e-78,1.2473647045361437e-77,True
NGFP1,NGFP1-p53KD,16.39287480512877,0.5140903146724791,31.88714966468971,4.024269237887287e-223,4.0242692378872863e-222,True
NGFP1-Lin28OE,NGFP1-NanogOE,16.08193629806899,1.3923005318679604,11.550621385235617,7.328862458254588e-31,1.2214770763757647e-30,True
NGFP1-Lin28OE,NGFP1-p21KD,15.807772512683105,1.0299517745353894,15.348070563608651,3.648779713089094e-53,9.121949282722734e-53,True
NGFP1-Lin28OE,NGFP1-p53KD,17.596362414327558,0.8462476264687361,20.793396476341716,4.9667910556187955e-96,2.4833955278093976e-95,True
NGFP1-NanogOE,NGFP1-p21KD,-0.27416378538588404,1.3543023651555586,-0.2024391247034357,0.8395734444353493,0.8395734444353493,False
NGFP1-NanogOE,NGFP1-p53KD,1.5144261162585693,1.2204381523458334,1.24088722836766,0.21464741143873012,0.23849712382081123,False
NGFP1-p21KD,NGFP1-p53KD,1.7885899016444533,0.782156742942298,2.2867410116752045,0.0222109443784872,0.031729920540696,True
