condition_a,condition_b,diff,se_diff,z,p_two_sided,q_BH,significant_FDR
NGFP1,NGFP1-Lin28OE,-2.4400155471412894,0.7313033405111564,-3.336530016991035,0.0008483126748946504,0.0012118752498495005,True
NGFP1,NGFP1-NanogOE,11.155587447341736,1.0936490493606463,10.200335705374002,1.9758834500831195e-24,3.293139083471866e-24,True
NGFP1,NGFP1-p21KD,11.429949494839668,0.6941431325403754,16.466271809114,6.410112132328556e-61,2.1367040441095186e-60,True
NGFP1,NGFP1-p53KD,12.788366103727327,0.4571752504855915,27.972568703454716,3.5044949343016055e-172,3.5044949343016057e-171,True
NGFP1-Lin28OE,NGFP1-NanogOE,13.595602994483025,1.2376440554140553,10.985067099873557,4.5090340338081335e-28,9.018068067616267e-28,True
NGFP1-Lin28OE,NGFP1-p21KD,13.869965041980958,0.9041732429060644,15.339941931263194,4.135647573027369e-53,1.0339118932568422e-52,True
NGFP1-Lin28OE,NGFP1-p53KD,15.228381650868617,0.7380404964437026,20.633531255056585,1.372520289520552e-94,6.862601447602759e-94,True
NGFP1-NanogOE,NGFP1-p21KD,0.2743620474979327,1.2160562982493608,0.2256162382390563,0.8214999101795001,0.8214999101795002,False
NGFP1-NanogOE,NGFP1-p53KD,1.6327786563855913,1.0981654892207895,1.4868238643559453,0.13706133686360059,0.15229037429288952,False
NGFP1-p21KD,NGFP1-p53KD,1.3584166088876586,0.7012373970354518,1.9371707992621254,0.052724468462103845,0.06590558557762981,False
