gene_a,gene_b,metric,diff,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Tbx3,Tfcp2l1,k,0.25005728371054536,0.34385780466561816,0.7272113074580686,0.467096520392662,1.0,1.2911502283425596e-229,False
Tbx3,Klf2,k,0.1890247888308494,0.2375422861503177,0.7957521664636744,0.4261760992497511,1.0,1.2911502283425596e-229,False
Tbx3,Nanog,k,-0.26755725173732825,0.178430885127447,-1.4995007817521129,0.13374376605612837,0.8024625963367702,1.2911502283425596e-229,False
Tbx3,Klf4,k,-2.619014136296561,0.08074470985481647,-32.435736545535875,8.607668188950397e-231,1.2911502283425596e-229,1.2911502283425596e-229,True
Tbx3,Esrrb,k,-0.40253218399127044,0.2102314456823955,-1.914709679537622,0.05552953846514688,0.5117555541367411,1.2911502283425596e-229,False
Tfcp2l1,Klf2,k,-0.061032494879695975,0.40751603596441277,-0.14976709992591744,0.8809483669983046,1.0,1.2911502283425596e-229,False
Tfcp2l1,Nanog,k,-0.5176145354478736,0.37613902034486313,-1.3761256010431957,0.16878275074758695,0.8439137537379348,1.2911502283425596e-229,False
Tfcp2l1,Klf4,k,-2.8690714200071064,0.34082648082003203,-8.417982702236314,3.830223208402088e-17,4.213245529242297e-16,1.2911502283425596e-229,True
Tfcp2l1,Esrrb,k,-0.6525894677018158,0.3922247348298411,-1.6638151797971863,0.0961493694996243,0.7691949559969944,1.2911502283425596e-229,False
Klf2,Nanog,k,-0.45658204056817764,0.2822564622928133,-1.6176141260302437,0.1057457828801623,0.7691949559969944,1.2911502283425596e-229,False
Klf2,Klf4,k,-2.8080389251274105,0.23313266160756765,-12.044811335162398,2.0654843534027377e-33,2.6851296594235593e-32,1.2911502283425596e-229,True
Klf2,Esrrb,k,-0.5915569728221198,0.3033618144928596,-1.9500047288781088,0.051175555413674106,0.5117555541367411,1.2911502283425596e-229,False
Nanog,Klf4,k,-2.3514568845592327,0.17251690052303115,-13.63029869786764,2.6449551509783562e-42,3.702937211369699e-41,1.2911502283425596e-229,True
Nanog,Esrrb,k,-0.1349749322539422,0.2596914198625841,-0.5197512198337715,0.6032369823588841,1.0,1.2911502283425596e-229,False
Klf4,Esrrb,k,2.2164819523052905,0.20523586663256313,10.799681306550047,3.454003266646318e-27,4.144803919975582e-26,1.2911502283425596e-229,True
