gene_a,gene_b,metric,diff,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Tbx3,Tfcp2l1,lam,-0.94307553660685,1.8818150724880425,-0.5011520793910755,0.6162640968177895,1.0,1.3189225852462065e-241,False
Tbx3,Klf2,lam,-1.780577164358467,1.4538577181252326,-1.2247258739008815,0.2206785220430164,1.0,1.3189225852462065e-241,False
Tbx3,Nanog,lam,-5.160180739537006,0.9094554347402,-5.673923693700386,1.3956331772106964e-08,1.953886448094975e-07,1.3189225852462065e-241,True
Tbx3,Klf4,lam,-4.9724784892115075,0.14943452832791815,-33.27529818476713,8.79281723497471e-243,1.3189225852462065e-241,1.3189225852462065e-241,True
Tbx3,Esrrb,lam,-7.017266510887376,1.3402126759310677,-5.235935039946079,1.641516840189187e-07,2.133971892245943e-06,1.3189225852462065e-241,True
Tfcp2l1,Klf2,lam,-0.837501627751617,2.3687686913346595,-0.35355990258370684,0.723668728819371,1.0,1.3189225852462065e-241,False
Tfcp2l1,Nanog,lam,-4.217105202930156,2.079536495537766,-2.027906320460905,0.042569809952202706,0.34055847961762165,1.3189225852462065e-241,False
Tfcp2l1,Klf4,lam,-4.0294029526046575,1.8760846267563716,-2.1477724912501595,0.031731833351982236,0.28558650016784015,1.3189225852462065e-241,False
Tfcp2l1,Esrrb,lam,-6.074190974280526,2.3007678859940044,-2.640071174175088,0.008288861748046791,0.09284494332240947,1.3189225852462065e-241,False
Klf2,Nanog,lam,-3.379603575178539,1.7020418131710584,-1.98561724455055,0.047075840189245446,0.34055847961762165,1.3189225852462065e-241,False
Klf2,Klf4,lam,-3.191901324853041,1.4464327928599812,-2.20674015454379,0.027332218190420806,0.27332218190420804,1.3189225852462065e-241,False
Klf2,Esrrb,lam,-5.236689346528909,1.9662164587680704,-2.663333084806923,0.00773707861020079,0.09284494332240947,1.3189225852462065e-241,False
Nanog,Klf4,lam,0.18770225032549792,0.8975381593486168,0.20913010591295836,0.8343466731703358,1.0,1.3189225852462065e-241,False
Nanog,Esrrb,lam,-1.85708577135037,1.6060554429896339,-1.1563024050361854,0.2475574849561485,1.0,1.3189225852462065e-241,False
Klf4,Esrrb,lam,-2.044788021675868,1.332154486699921,-1.534948117572548,0.12479657274609857,0.7487794364765914,1.3189225852462065e-241,False
