gene_a,gene_b,metric,diff,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Tbx3,Tfcp2l1,pi,-0.017383399859471238,0.14912977320132667,-0.11656558905915773,0.9072043077319634,1.0,4.793914653861923e-52,False
Tbx3,Klf2,pi,-0.017383399859471238,0.0933787473573905,-0.1861601312013683,0.8523191880804247,1.0,4.793914653861923e-52,False
Tbx3,Nanog,pi,-0.01693110140169618,0.03568899235263818,-0.4744068208595587,0.6352098300105451,1.0,4.793914653861923e-52,False
Tbx3,Klf4,pi,0.11511660014052871,0.007496197583195416,15.356665677888627,3.1959431025746153e-53,4.793914653861923e-52,4.793914653861923e-52,True
Tbx3,Esrrb,pi,-0.012915916768708846,0.04442803386625116,-0.29071547049756247,0.7712689386490674,1.0,4.793914653861923e-52,False
Tfcp2l1,Klf2,pi,0.0,0.17565062998832576,0.0,1.0,1.0,4.793914653861923e-52,False
Tfcp2l1,Nanog,pi,0.00045229845777505773,0.1529943055554913,0.002956309100086136,0.9976412100479585,1.0,4.793914653861923e-52,False
Tfcp2l1,Klf4,pi,0.13249999999999995,0.14896223123821242,0.8894872136287556,0.3737412920076161,1.0,4.793914653861923e-52,False
Tfcp2l1,Esrrb,pi,0.004467483090762392,0.15526559036206677,0.028773169124881974,0.977045499953884,1.0,4.793914653861923e-52,False
Klf2,Nanog,pi,0.00045229845777505773,0.09943419298894754,0.004548721563268807,0.9963706578089877,1.0,4.793914653861923e-52,False
Klf2,Klf4,pi,0.13249999999999995,0.0931109420982459,1.423033609306549,0.15472641250122554,1.0,4.793914653861923e-52,False
Klf2,Esrrb,pi,0.004467483090762392,0.10289462937120361,0.04341803958149709,0.9653682977539413,1.0,4.793914653861923e-52,False
Nanog,Klf4,pi,0.1320477015422249,0.034982299174499715,3.7747004816218834,0.00016020002811268762,0.0022428003935776267,4.793914653861923e-52,True
Nanog,Esrrb,pi,0.004015184632987334,0.056048358321619536,0.071637863324153,0.9428901068950608,1.0,4.793914653861923e-52,False
Klf4,Esrrb,pi,-0.12803251690923756,0.043862367396303364,-2.918960478180389,0.0035120074686581576,0.045656097092556046,4.793914653861923e-52,True
