gene_a,gene_b,metric,diff,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Tbx3,Tfcp2l1,t50,-0.06567001291668895,0.9026736127052013,-0.07275056232106313,0.9420046122006929,1.0,1.3624366652536466e-250,False
Tbx3,Klf2,t50,-0.6563062634854031,0.6707239015999443,-0.9785043621076431,0.32782493495114695,1.0,1.3624366652536466e-250,False
Tbx3,Nanog,t50,-3.847783185568057,0.5241086028977557,-7.341576086127881,2.110930929066051e-13,2.9553033006924714e-12,1.3624366652536466e-250,True
Tbx3,Klf4,t50,-5.2899280807842715,0.15608715336237308,-33.890861399100125,9.082911101690977e-252,1.3624366652536466e-250,1.3624366652536466e-250,True
Tbx3,Esrrb,t50,-5.4422546431792895,0.7847204467707249,-6.935278245361403,4.054223927406784e-12,4.8650687128881406e-11,1.3624366652536466e-250,True
Tfcp2l1,Klf2,t50,-0.5906362505687142,1.103042242208322,-0.5354611346399968,0.5923310257617467,1.0,1.3624366652536466e-250,False
Tfcp2l1,Nanog,t50,-3.782113172651368,1.0205495889715244,-3.705957273926155,0.00021059380174839063,0.0014741566122387344,1.3624366652536466e-250,True
Tfcp2l1,Klf4,t50,-5.2242580678675825,0.8894913351816751,-5.8733096785035555,4.271794019239504e-09,4.6989734211634544e-08,1.3624366652536466e-250,True
Tfcp2l1,Esrrb,t50,-5.376584630262601,1.1758477008093167,-4.572517875029211,4.818980989570994e-06,4.3370828906138945e-05,1.3624366652536466e-250,True
Klf2,Nanog,t50,-3.191476922082654,0.8225401902965834,-3.880025510889508,0.00010444550954221813,0.0008355640763377451,1.3624366652536466e-250,True
Klf2,Klf4,t50,-4.633621817298868,0.6528749776691332,-7.097257477751147,1.2725684540840962e-12,1.6543389903093252e-11,1.3624366652536466e-250,True
Klf2,Esrrb,t50,-4.785948379693886,1.0087956763397374,-4.744219758216031,2.093115245346367e-06,2.093115245346367e-05,1.3624366652536466e-250,True
Nanog,Klf4,t50,-1.4421448952162148,0.5010638800796329,-2.878165744030518,0.003999949216168618,0.02399969529701171,1.3624366652536466e-250,True
Nanog,Esrrb,t50,-1.594471457611232,0.9178714463669376,-1.7371402759312002,0.08236241373474641,0.41181206867373205,1.3624366652536466e-250,False
Klf4,Esrrb,t50,-0.15232656239501718,0.7695202166733929,-0.19795004613851372,0.8430841476611164,1.0,1.3624366652536466e-250,False
