lineage,gene,status,status_canon,t0,lam,k,pi,t10,t50,t90,lam_se,t50_se,k_se,pi_se,r2,AIC,BIC,success,message
Definitive Endoderm,CXCR+/ECAD+,2i,2i,0.0,71.82880530140714,29.69588012902214,0.5574945000051047,66.58671798378292,70.94772719530539,73.87477131169237,54.00257663908077,329.8879618877026,9378.539321962788,0.00949242337445462,0.9988646674687047,-41.689682242267544,-42.86136850496524,True,`ftol` termination condition is satisfied.
Definitive Endoderm,CXCR+/ECAD+,Rex1-Hi,rex1-hi,0.0,79.6571366457248,4.146937303286543,0.6314245026717729,46.296851850021184,72.91905865653194,97.4024858544442,4.582517457703138,3.735739094690473,0.9785720003119166,0.0468325317716204,0.989060695132391,-30.11327128870451,-31.284957551402208,True,`ftol` termination condition is satisfied.
Definitive Endoderm,CXCR+/ECAD+,Rex1-Lo,rex1-lo,0.0,117.9062748845441,1.4732000564788965,0.5706778105824158,25.593878702286744,91.9369574788763,207.68585191457873,344.49875359720556,244.39499147659131,1.667310549524609,1.478061878414291,0.8583893880449918,-24.419521046144048,-25.591207308841746,True,`ftol` termination condition is satisfied.
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Lo,rex1-lo,0.0,88.8681059615592,5.420978036277396,0.2595199026990972,58.676030226194975,83.05833607562444,103.64857362826126,0.8544874295055342,0.7433333712429813,0.26822655807101775,0.004314174442135093,0.999460479227868,-54.31054172390697,-55.48222798660467,True,`ftol` termination condition is satisfied.
Lateral Mesoderm,FLK1+/ECAD-,Rex1-Hi,rex1-hi,0.0,93.97607564655092,6.0829741172776055,0.21149656231406525,64.91605633264872,88.48101226840946,107.78619138932437,4.6817439038498545,3.9813965024460667,1.9439773349231944,0.021233189470710876,0.9816520583152126,-39.20892351934268,-40.38060978204038,True,`ftol` termination condition is satisfied.
Lateral Mesoderm,FLK1+/ECAD-,2i,2i,0.0,103.97377478790385,11.036292229467547,0.23337860333253324,84.7946626185694,100.57753416269469,112.13578462269594,0.025464251314628383,0.016225497930577717,0.028747923351289117,6.919080376335117e-05,0.9999999470504859,-101.89883595864208,-103.07052222133979,True,`gtol` termination condition is satisfied.
Neural,SOX1+,Rex1-Lo,rex1-lo,0.0,42.553481802888896,3.8141144907737803,1.0,23.588310017825673,38.65467931965745,52.9544276457891,2.456620183602475,2.7286283844630916,1.0753437352401456,,0.9783013052314514,-19.86084501460489,-21.08825629236511,True,`ftol` termination condition is satisfied.
Neural,SOX1+,Rex1-Hi,rex1-hi,0.0,67.09329052880396,5.984955460315515,1.0,46.06622450872157,63.10783992727464,77.12587874546278,5.1659215073366775,5.752875681164244,3.532994352172823,,0.901580089752535,-13.473592557325372,-14.70100383508559,True,`ftol` termination condition is satisfied.
Neural,SOX1+,2i,2i,0.0,83.15070184439246,4.064300333232643,1.0,47.79702727381448,75.98044805038138,102.09094157814872,3.998352191831791,3.754481257435681,1.0609836809126354,,0.9672569941267283,-18.430262802591784,-19.657674080352002,True,`ftol` termination condition is satisfied.
Primitive Streak,TBXT+,Rex1-Lo,rex1-lo,0.0,30.89394170764878,1.6531320263921103,1.0,7.919159579138712,24.75065384579288,51.16607119935335,2.8871808662558105,2.8076559581780938,0.4322978718064643,,0.9645646953429363,-15.51192759126332,-17.3147030139271,True,`ftol` termination condition is satisfied.
Primitive Streak,TBXT+,Rex1-Hi,rex1-hi,0.0,59.55889800844615,2.1490423167947914,1.0,20.901413574678948,50.220264076145426,87.79992475997281,3.166400196841018,2.7446493818079096,0.37892909811743175,,0.9866198225769114,-16.77216866130014,-18.57494408396392,True,`ftol` termination condition is satisfied.
Primitive Streak,TBXT+,2i,2i,0.0,87.19048639951498,8.1829498460206,1.0,66.22700868512837,83.37140588634836,96.54588865747667,4.538218799546424,3.3383392710865265,2.2061694655239563,,0.9979466568132668,-29.321747287955347,-31.12452271061913,True,`xtol` termination condition is satisfied.
